patlist,instance
ilih_plist,XSRAM_STARTUP::ilih_test|XSRAM_STARTUP::iloh_test
tap_78C_Plist,XSRAM_STARTUP::TAP_test
chain_pbist0_ins_001_plist,XSRAM_STARTUP::chain_pbist0_ins_chain
chain_pbist0_obs_001_plist,XSRAM_STARTUP::chain_pbist0_obs_chain
chain_stokl_all_ru_plist,XSRAM_STARTUP::chain_stokl_all_ru_test_top
chain_stokl_ru00_ru39_plist,XSRAM_STARTUP::chain_stokl_lower_ru_test_top
chain_stokl_ru40_ru79_plist,XSRAM_STARTUP::chain_stokl_upper_ru_test_top
pbist0_clkm00_default_plist,XSRAM_STARTUP::pbist_0_clkm00_default_test
pbist0_clkm01_2C_scan_fx_cb_8X4_plist,XSRAM_STARTUP::pbist_0_clkm01_scanfx8x4_diagnostic_test
sicc_sleep_78C_Plist,XSRAM_STARTUP::vccg_sicc_600mV_test|XSRAM_STARTUP::vccg_sicc_nom_test|XSRAM_STARTUP::vccg_sicc_1p1V_test|XSRAM_STARTUP::all_other_shops_UD|XSRAM_STARTUP::all_other_shops_LD|XSRAM_STARTUP::ddr_ioboundary_shops_UD|XSRAM_STARTUP::ddr_ioboundary_shops_LD|XSRAM_STARTUP::sram_shops_dpin_LD|XSRAM_STARTUP::sram_shops_dpin_UD|XSRAM_STARTUP::sram_shops_kmpin_LD|XSRAM_STARTUP::sram_shops_kmpin_UD|XSRAM_STARTUP::LYA_shops_LD|XSRAM_STARTUP::LYA_shops_UD|XSRAM_STARTUP::edm_shops_LD|XSRAM_STARTUP::edm_shops_UD|XSRAM_STARTUP::PLL_outpins_shops_LD|XSRAM_STARTUP::PLL_outpins_shops_UD|XSRAM_STARTUP::PLL_inpins_shops_LD|XSRAM_STARTUP::PLL_inpins_shops_UD|XSRAM_STARTUP::vcc_sicc_sleep_600mV_test|XSRAM_STARTUP::vcc_sicc_sleep_800mV_test|XSRAM_STARTUP::sicc_vcc_sleep_nom_test|XSRAM_STARTUP::vcc2_sicc_sleep_600mV_test|XSRAM_STARTUP::vcc2_sicc_sleep_800mV_test|XSRAM_STARTUP::sicc_vcc2_sleep_nom_test
ilil_plist,XSRAM_STARTUP::ilil_test|XSRAM_STARTUP::ilol_test
BFNR_hdc_d3_plist,XSRAM_HDC_D3::BFNR_Test
BFR_hdc_d3_plist,XSRAM_HDC_D3::BFR_nom_b19_test
chainru180_GT2_loopback_ss_plist,XSRAM_CHAINRU180_X78::DebugFuncTest|XSRAM_CHAINRU180_X78::DebugFuncTest_copy
